FID,Water,BH,Shape_Leng,Frequency,slope,Buildng,NDVI,Winding,Sport,Life,Education,Finance,Traffic,Public,Scenery,Food,POI,SVI,GVI,VW,VEI,light,POIden,OrigLen,BH_1,FREQUENC_1,SUM_C_INTR,SUM_C_BUIL,SUM_C_NDVI,SUM_C_POI,SUM_C_WIND,SUM_C_SLOP,SUM_C_WATE,SUM_C_SVI,SUM_C_GVI,SUM_C_VW,SUM_C_LIGH,SUM_C_POID,Score,startX,startY,endX,endY,Total,dij_W1,distance,score_ori,dis_ori,toatl_ori1,toatl_ori2
11,11.87603667,12,24.24759512,24,6.082289125,15883.50636,76.14452622,2,5,53,10,1,23,1,0,37,2.059287774,0.043702626,0.196776056,0.207871277,0.750724269,79916,18718230.87,24.24759512,12,1,8.778672746,-0.000426546,0.285895734,8.544321367,3.779074903,0.169004952,-0.026314628,60.89999899,-25.47945498,6.767422286,-2.12E-05,-1.89E-07,3.397440502,120.1665491,30.2697009,120.1663321,30.2696845,3.992047552,7.602559498,1.175016178,43.45167842,24.24759512,82.37976174,1053.598706
12,472.9037683,13,320.8820646,64,8.809730714,32108.49998,52.59263242,6,12,111,33,51,62,3,4,43,2.460977339,0.123542264,0.199408105,0.315470336,0.767047145,46585.11111,18721051.92,320.8820646,13,2,5.650062811,-0.000414037,0.464602773,8.623340091,2.038949487,0.136117068,-0.084149089,102.6361031,42.70801222,6.792658615,4.47E-05,-1.65E-07,3.13264424,120.1826933,30.26025728,120.1795515,30.2604275,10.39235769,7.86735576,3.317439483,33.97630817,320.8820646,1005.209351,10902.38791
13,254.6069215,14,182.3139975,16,9.095490671,27760.98033,22.62951551,3,12,108,32,51,63,2,1,44,2.40942869,0.098486451,0.169792597,0.288279373,0.774900391,45690.71429,22607885.75,182.3139975,14,2,8.687783245,-0.000415343,0.467066139,8.623843014,1.810403002,0.135433979,-0.084390649,95.78669986,36.58920267,6.79448993,3.48E-05,-1.66E-07,2.997088114,120.1811875,30.2604067,120.1795515,30.2604275,6.943175898,8.002911886,2.316640564,29.12561854,182.3139975,546.4111149,5310.007946
14,1.75133322,15,116.8586103,148,3.328237051,12922.36188,94.11908278,3,9,24,7,2,11,2,2,14,2.550076328,0.254241516,0.219226282,0.201726709,0.751289654,89965,12366498.04,116.8586103,15,2,-16.24736955,-0.000457422,0.309538114,8.616345027,-13.02796963,0.117506106,-0.124192638,686.8054285,226.7213063,6.842312895,-2.57E-05,-1.81E-07,8.084928367,120.1531155,30.2640576,120.152843,30.26493761,14.90774489,2.915071633,1.843893256,211.1869883,116.8586103,944.7934933,24679.01797
15,360.2684238,16,104.488585,8,6.049512834,23165.12703,11.68616456,3,13,89,18,8,28,0,2,119,2.046616197,0.12204435,0.184298173,0.161643174,0.75456899,79896.8,32674796.36,104.488585,16,1,18.11501649,-0.000435072,0.188272084,8.570738164,2.401508636,0.150253212,-0.039098836,107.7191142,-30.13684146,6.791936468,-2.61E-05,-1.85E-07,2.807899889,120.1633351,30.2692467,120.1624118,30.2691027,4.926605094,8.192100111,1.754551547,22.35577798,104.488585,293.3934862,2335.923608
16,376.391801,17,7.137090661,16,7.892720088,17049.85487,30.08262038,2,7,24,12,20,29,2,1,16,2.595946089,0.134914073,0.184316393,0.234537842,0.761178325,55345,18801371.71,7.137090661,17,1,8.428826641,-0.000441438,0.2463421,8.632221687,2.141551519,0.119417124,-0.054259408,230.2517778,-30.06844714,6.831402461,-3.19E-05,-1.75E-07,3.233752058,120.1635338,30.2605771,120.163519,30.26052294,3.400085476,7.766247942,1.051436664,37.59431248,7.137090661,23.07958161,268.3140165
17,1.201736629,18,690.1637553,40,8.182285826,50728.10461,81.74098739,14,14,74,38,19,44,6,2,15,2.495550118,0.071643016,0.374420539,0.282302126,0.721598114,76793.53333,10081399.61,690.1637553,18,3,1.747402849,-0.000406804,0.311332026,8.482683243,3.598943511,0.216415555,-0.037233356,96.67737458,-22.02017399,6.708797825,-1.73E-05,-2.01E-07,4.336623368,120.1672909,30.2742708,120.1732036,30.275602,25.95275088,6.663376632,5.984552653,77.05904631,690.1637553,2992.980269,53183.36078
18,104.1305147,19,125.4378788,48,6.575287261,13788.24522,66.9139878,2,3,29,11,19,16,0,2,45,2.345511515,0.193544091,0.21393087,0.090360937,0.744659687,83205.4,12346380.75,125.4378788,19,2,-14.20533203,-0.000455903,0.187014344,8.509425738,9.45084821,0.208808186,-0.038002456,191.6321353,-12.59960286,6.779539587,-1.74E-05,-1.99E-07,3.843103998,120.1500208,30.27486568,120.1511437,30.2749475,7.324404615,7.156896002,1.905856469,59.39913404,125.4378788,482.0708135,7450.901377
19,102.0867693,20,382.4014146,72,10.5522833,15578.1604,69.65052643,5,24,174,72,22,49,5,0,47,2.269150228,0.15620499,0.195232977,0.191418232,0.748544703,58934.8,20947529.08,382.4014146,20,2,-2.746357939,-0.000410264,0.277579281,8.449363533,5.457129091,0.261913267,-0.028831094,92.90276921,-47.17917631,6.692276045,-1.98E-05,-2.23E-07,3.782448412,120.1660098,30.2767108,120.1655547,30.2796476,14.22865942,7.217551588,3.761759017,57.22865728,382.4014146,1446.413623,21884.3195
20,13.65178675,21,19.26971394,32,5.355290595,9419.128105,58.69008451,2,8,16,16,5,26,1,0,17,2.48350937,0.089469533,0.308381454,0.255213397,0.722294651,57339,14927917.57,19.26971394,21,1,-0.116009575,-0.000422631,0.381051737,8.518025487,4.766853521,0.188466901,-0.021673045,52.07772499,-29.11746073,6.747804509,-2.01E-05,-1.98E-07,3.383888193,120.1663705,30.2719824,120.166375,30.2721326,3.854464382,7.616111807,1.139063752,42.96672769,19.26971394,65.20655748,827.9565515
21,3.917884836,22,420.6114872,104,4.855991717,18422.7455,72.68369086,5,3,51,10,7,19,2,2,20,2.288429225,0.161696215,0.228128036,0.198535542,0.722807103,64232.4,7197189.669,420.6114872,22,3,20.82398363,-0.000367475,0.259813198,8.406365574,0.832323103,0.277881811,-0.071571574,3.728231842,33.47818054,6.614178916,-5.48E-07,-1.77E-07,4.017793695,120.1811647,30.2778044,120.1790721,30.2804977,16.22276131,6.982206305,4.037728799,65.6501647,420.6114872,1689.930181,27613.21341
22,170.2023707,23,263.3232803,64,5.04129414,28976.44234,40.51820728,4,8,80,14,6,21,4,1,51,2.190303894,0.157882973,0.172004091,0.162099372,0.753508529,59421.5,11925036.28,263.3232803,23,3,28.08109565,-0.000359388,0.152014837,8.369322978,1.019113022,0.319387705,-0.041026046,-37.9537256,6.839460365,6.580016157,-8.61E-05,-1.90E-07,3.013946505,120.1778858,30.2823207,120.1789118,30.2804841,8.745643558,7.986053495,2.901724879,29.7288729,263.3232803,793.6422803,7828.304332
23,0.362530864,24,351.0013669,92,5.013314749,17961.84256,67.47309719,3,3,45,9,7,16,2,1,19,2.292232116,0.169508827,0.20546711,0.195464643,0.736625856,63533,7985486.659,351.0013669,24,3,23.24667937,-0.000368267,0.238603475,8.403840173,0.802301696,0.280835786,-0.069795235,-5.0206352,29.44913761,6.613448176,-1.32E-05,-1.80E-07,3.859854319,120.1789118,30.2804841,120.1807562,30.2782645,13.64448543,7.140145681,3.534974199,59.99852126,351.0013669,1354.814142,21059.56297
24,415.007758,25,149.477459,24,5.065015731,34627.12834,31.27625512,2,3,40,8,10,15,4,1,20,2.421645017,0.056997339,0.283777048,0.146858071,0.76057633,30695.85714,14903078.29,149.477459,25,1,20.59280331,-0.00041978,0.200339004,8.563872522,2.924036134,0.155702162,-0.047843684,80.75995839,-28.27048901,6.769902448,-2.21E-05,-1.79E-07,2.576276897,120.1712032,30.2692932,120.1713364,30.2681334,5.357318304,8.423723103,2.079480785,14.0674676,149.477459,385.0953242,2102.769311
